Delhi,Autumn,290.8087912087912
Delhi,Summer,243.19746376811594
Delhi,Winter,343.1898238747554
Delhi,Monsoon,159.87083333333334
Kochi,Summer,97.11235955056179
Kochi,Winter,129.3684210526316
Kochi,Monsoon,94.12903225806451
Patna,Autumn,266.1542857142857
Patna,Summer,192.04761904761904
Patna,Winter,353.80143540669854
Patna,Monsoon,114.9515570934256
Aizawl,Summer,39.925925925925924
Aizawl,Monsoon,20.833333333333332
Bhopal,Autumn,153.01351351351352
Bhopal,Summer,108.86585365853658
Bhopal,Winter,158.86813186813185
Bhopal,Monsoon,71.58064516129032
Jaipur,Autumn,153.64944649446494
Jaipur,Summer,128.06521739130434
Jaipur,Winter,149.5608856088561
Jaipur,Monsoon,104.07664233576642
Mumbai,Autumn,107.13450292397661
Mumbai,Summer,90.66028708133972
Mumbai,Winter,163.34806629834253
Mumbai,Monsoon,68.48815165876778
Chennai,Autumn,119.55187637969095
Chennai,Summer,112.52
Chennai,Winter,119.84651162790698
Chennai,Monsoon,107.18297872340426
Kolkata,Autumn,151.02747252747253
Kolkata,Summer,96.06806282722513
Kolkata,Winter,265.50828729281767
Kolkata,Monsoon,60.47
Lucknow,Autumn,239.24615384615385
Lucknow,Summer,196.57976653696497
Lucknow,Winter,324.1570796460177
Lucknow,Monsoon,119.3936170212766
Talcher,Autumn,154.38524590163934
Talcher,Summer,146.75336322869956
Talcher,Winter,279.05434782608694
Talcher,Monsoon,104.96913580246914
Amritsar,Autumn,157.0239043824701
Amritsar,Summer,99.66272189349112
Amritsar,Winter,133.5546875
Amritsar,Monsoon,98.19343065693431
Gurugram,Autumn,239.2566371681416
Gurugram,Summer,207.64233576642334
Gurugram,Winter,291.1553672316384
Gurugram,Monsoon,165.3168604651163
Guwahati,Autumn,95.94444444444444
Guwahati,Summer,136.23076923076923
Guwahati,Winter,264.34313725490193
Guwahati,Monsoon,74.07438016528926
Shillong,Autumn,45.05084745762712
Shillong,Summer,51.71212121212121
Shillong,Winter,82.42553191489361
Shillong,Monsoon,32.81818181818182
Ahmedabad,Autumn,528.5015015015015
Ahmedabad,Summer,402.4022988505747
Ahmedabad,Winter,559.0993150684932
Ahmedabad,Monsoon,343.94707520891365
Amaravati,Autumn,98.88
Amaravati,Summer,71.57539682539682
Amaravati,Winter,139.62921348314606
Amaravati,Monsoon,63.19897959183673
Bengaluru,Autumn,90.21538461538462
Bengaluru,Summer,97.61363636363636
Bengaluru,Winter,107.71681415929204
Bengaluru,Monsoon,81.94303797468355
Ernakulam,Summer,84.25
Ernakulam,Winter,104.08333333333333
Ernakulam,Monsoon,104.07142857142857
Hyderabad,Autumn,113.88382687927107
Hyderabad,Summer,108.60194174757281
Hyderabad,Winter,131.23503325942352
Hyderabad,Monsoon,84.48940677966101
Chandigarh,Autumn,134.06976744186048
Chandigarh,Summer,58.34065934065934
Chandigarh,Winter,109.37362637362638
Chandigarh,Monsoon,66.48387096774194
Coimbatore,Autumn,84.39080459770115
Coimbatore,Summer,71.4776119402985
Coimbatore,Winter,76.875
Coimbatore,Monsoon,61.07920792079208
Jorapokhar,Autumn,183.07407407407408
Jorapokhar,Summer,134.53070175438597
Jorapokhar,Winter,207.6079295154185
Jorapokhar,Monsoon,110.8125
Brajrajnagar,Autumn,127.08771929824562
Brajrajnagar,Summer,162.06696428571428
Brajrajnagar,Winter,193.7233009708738
Brajrajnagar,Monsoon,95.62650602409639
Visakhapatnam,Autumn,113.04710144927536
Visakhapatnam,Summer,92.18211920529801
Visakhapatnam,Winter,159.08092485549133
Visakhapatnam,Monsoon,94.11522633744856
Thiruvananthapuram,Autumn,72.42323651452283
Thiruvananthapuram,Summer,72.32363636363637
Thiruvananthapuram,Winter,103.26037735849057
Thiruvananthapuram,Monsoon,55.71268656716418
